date,Series Name,Underlying Close,Expiration,Day to expire,Underlying Change,ATM premium,+/-1 OTM premium
02/10/2019,Z19,1067.2,27/12/2019,86d,-7.9,47.5,28.1
03/10/2019,Z19,1068.0,27/12/2019,85d,0.8,46.8,27.6
04/10/2019,Z19,1064.8,27/12/2019,84d,-3.2,45.5,27.1
07/10/2019,Z19,1069.1,27/12/2019,81d,4.3,45.7,25.5
08/10/2019,Z19,1067.1,27/12/2019,80d,-2.0,44.6,25.5
09/10/2019,Z19,1074.7,27/12/2019,79d,7.6,44.2,24.6
10/10/2019,Z19,1066.3,27/12/2019,78d,-8.4,43.7,24.4
11/10/2019,Z19,1080.0,27/12/2019,77d,13.7,43.7,25.0
15/10/2019,Z19,1083.2,27/12/2019,73d,3.2,43.1,24.4
16/10/2019,Z19,1084.4,27/12/2019,72d,1.2,42.8,23.9
17/10/2019,Z19,1088.3,27/12/2019,71d,3.9,43.3,23.6
18/10/2019,Z19,1085.8,27/12/2019,70d,-2.5,41.8,23.3
21/10/2019,Z19,1079.2,27/12/2019,67d,-6.6,40.9,21.7
22/10/2019,Z19,1085.2,27/12/2019,66d,6.0,40.8,21.8
24/10/2019,Z19,1082.3,27/12/2019,64d,-2.9,39.2,21.1
25/10/2019,Z19,1064.1,27/12/2019,63d,-18.2,40.2,21.2
28/10/2019,Z19,1067.6,27/12/2019,60d,3.5,38.9,21.2
29/10/2019,Z19,1064.1,27/12/2019,59d,-3.5,39.1,20.8
30/10/2019,Z19,1074.4,27/12/2019,58d,10.3,36.7,19.1
31/10/2019,Z19,1068.2,27/12/2019,57d,-6.2,38.3,19.5
01/11/2019,Z19,1067.5,27/12/2019,56d,-0.7,37.8,19.9
04/11/2019,Z19,1093.1,27/12/2019,53d,25.6,37.6,19.5
05/11/2019,Z19,1096.8,27/12/2019,52d,3.7,37.0,19.1
07/11/2019,Z19,1104.2,27/12/2019,50d,7.4,36.2,17.7
11/11/2019,Z19,1094.2,27/12/2019,46d,-10.0,35.2,17.2
12/11/2019,Z19,1094.0,27/12/2019,45d,-0.2,35.2,17.0
13/11/2019,Z19,1089.0,27/12/2019,44d,-5.0,35.7,16.5
14/11/2019,Z19,1085.3,27/12/2019,43d,-3.7,36.2,16.1
15/11/2019,Z19,1083.3,27/12/2019,42d,-2.0,33.9,15.5
18/11/2019,Z19,1086.8,27/12/2019,39d,3.5,33.9,15.5
19/11/2019,Z19,1085.2,27/12/2019,38d,-1.6,32.7,14.4
20/11/2019,Z19,1074.8,27/12/2019,37d,-10.4,31.0,13.3
21/11/2019,Z19,1073.9,27/12/2019,36d,-0.9,30.5,12.7
22/11/2019,Z19,1076.1,27/12/2019,35d,2.2,30.3,12.2
25/11/2019,Z19,1086.0,27/12/2019,32d,9.9,31.1,13.0
02/12/2019,Z19,1054.3,27/12/2019,25d,-31.7,24.9,9.2
03/12/2019,Z19,1053.9,27/12/2019,24d,-0.4,24.5,9.3
04/12/2019,Z19,1054.8,27/12/2019,23d,0.9,23.9,7.5
06/12/2019,Z19,1046.8,27/12/2019,21d,-8.0,21.5,6.5
09/12/2019,Z19,1046.8,27/12/2019,18d,0.0,20.5,6.1
11/12/2019,Z19,1048.6,27/12/2019,16d,1.8,18.2,4.3
12/12/2019,Z19,1059.3,27/12/2019,15d,10.7,19.4,5.0
13/12/2019,Z19,1069.5,27/12/2019,14d,10.2,17.4,3.5
16/12/2019,Z19,1046.8,27/12/2019,11d,-22.7,16.3,3.0
17/12/2019,Z19,1051.6,27/12/2019,10d,4.8,14.5,2.8
18/12/2019,Z19,1061.4,27/12/2019,9d,9.8,17.2,3.0
19/12/2019,Z19,1069.8,27/12/2019,8d,8.4,15.9,2.5
20/12/2019,Z19,1065.0,27/12/2019,7d,-4.8,16.3,2.4
23/12/2019,Z19,1070.1,27/12/2019,4d,5.1,13.4,1.4
24/12/2019,Z19,1066.0,27/12/2019,3d,-4.1,15.6,1.5
25/12/2019,Z19,1069.6,27/12/2019,2d,3.6,12.5,0.6
26/12/2019,Z19,1072.9,27/12/2019,1d,3.3,9.0,0.5
27/12/2019,Z19,1063.4,27/12/2019,0ms,-9.5,11.2,0.2
17/12/2019,H20,1048.8,30/3/2020,104d,,47.6,27.7
18/12/2019,H20,1058.5,30/3/2020,103d,9.7,48.6,27.4
19/12/2019,H20,1067.7,30/3/2020,102d,9.2,49.0,28.6
20/12/2019,H20,1063.0,30/3/2020,101d,-4.7,48.8,28.4
23/12/2019,H20,1064.9,30/3/2020,98d,1.9,49.7,27.4
24/12/2019,H20,1060.6,30/3/2020,97d,-4.3,47.3,27.3
25/12/2019,H20,1064.8,30/3/2020,96d,4.2,47.7,27.3
26/12/2019,H20,1066.9,30/3/2020,95d,2.1,47.0,26.8
27/12/2019,H20,1068.7,30/3/2020,94d,1.8,45.9,26.0
30/12/2019,H20,1067.0,30/3/2020,91d,-1.7,45.7,25.8
02/01/2020,H20,1076.7,30/3/2020,88d,9.7,43.8,23.7
03/01/2020,H20,1075.4,30/3/2020,87d,-1.3,43.5,23.4
06/01/2020,H20,1058.2,30/3/2020,84d,-17.2,45.0,23.4
07/01/2020,H20,1070.8,30/3/2020,83d,12.6,41.4,22.1
08/01/2020,H20,1053.6,30/3/2020,82d,-17.2,42.5,22.5
09/01/2020,H20,1068.2,30/3/2020,81d,14.6,42.7,22.5
10/01/2020,H20,1068.5,30/3/2020,80d,0.3,42.0,21.7
13/01/2020,H20,1072.0,30/3/2020,77d,3.5,41.9,21.8
14/01/2020,H20,1071.7,30/3/2020,76d,-0.3,40.6,20.9
15/01/2020,H20,1064.4,30/3/2020,75d,-7.3,41.6,21.7
16/01/2020,H20,1072.6,30/3/2020,74d,8.2,40.3,20.2
17/01/2020,H20,1077.0,30/3/2020,73d,4.4,39.5,19.4
20/01/2020,H20,1069.7,30/3/2020,70d,-7.3,39.3,19.3
21/01/2020,H20,1060.4,30/3/2020,69d,-9.3,40.0,19.7
22/01/2020,H20,1060.7,30/3/2020,68d,0.3,39.8,19.5
23/01/2020,H20,1058.3,30/3/2020,67d,-2.4,37.5,19.0
24/01/2020,H20,1054.8,30/3/2020,66d,-3.5,38.1,18.1
27/01/2020,H20,1016.7,30/3/2020,63d,-38.1,42.9,23.0
28/01/2020,H20,1013.8,30/3/2020,62d,-2.9,43.8,25.2
29/01/2020,H20,1024.0,30/3/2020,61d,10.2,41.6,22.1
30/01/2020,H20,1018.8,30/3/2020,60d,-5.2,41.8,23.1
31/01/2020,H20,1012.4,30/3/2020,59d,-6.4,42.5,23.3
03/02/2020,H20,1001.6,30/3/2020,56d,-10.8,43.3,20.5
11/02/2020,H20,1017.7,30/3/2020,48d,16.1,38.3,19.5
12/02/2020,H20,1028.2,30/3/2020,47d,10.5,36.1,18.6
13/02/2020,H20,1024.0,30/3/2020,46d,-4.2,36.3,17.8
14/02/2020,H20,1020.0,30/3/2020,45d,-4.0,35.6,17.3
17/02/2020,H20,1020.3,30/3/2020,42d,0.3,34.2,16.1
18/02/2020,H20,1012.6,30/3/2020,41d,-7.7,35.4,16.7
19/02/2020,H20,1010.7,30/3/2020,40d,-1.9,35.1,16.8
20/02/2020,H20,995.6,30/3/2020,39d,-15.1,34.9,15.3
21/02/2020,H20,1000.4,30/3/2020,38d,4.8,33.1,14.3
24/02/2020,H20,952.6,30/3/2020,35d,-47.8,39.7,11.6
25/02/2020,H20,962.0,30/3/2020,34d,9.4,38.4,20.1
26/02/2020,H20,919.7,30/3/2020,33d,-42.3,50.3,28.8
27/02/2020,H20,933.8,30/3/2020,32d,14.1,47.7,29.3
28/02/2020,H20,893.5,30/3/2020,31d,-40.3,51.6,33.4
02/03/2020,H20,894.7,30/3/2020,28d,1.2,54.2,34.0
03/03/2020,H20,924.3,30/3/2020,27d,29.6,46.9,27.4
04/03/2020,H20,927.5,30/3/2020,26d,3.2,42.6,24.7
05/03/2020,H20,931.6,30/3/2020,25d,4.1,39.5,20.5
06/03/2020,H20,914.6,30/3/2020,24d,-17.0,38.1,21.6
09/03/2020,H20,822.3,30/3/2020,21d,-92.3,,0.0
10/03/2020,H20,843.7,30/3/2020,20d,21.4,60.9,39.6
11/03/2020,H20,821.7,30/3/2020,19d,-22.0,56.0,35.8
12/03/2020,H20,724.1,30/3/2020,18d,-97.6,,0.0
13/03/2020,H20,747.0,30/3/2020,17d,22.9,74.0,55.4
16/03/2020,H20,682.0,30/3/2020,14d,-65.0,89.6,66.0
17/03/2020,H20,674.0,30/3/2020,13d,-8.0,84.5,59.5
18/03/2020,H20,692.9,30/3/2020,12d,18.9,73.0,49.0
19/03/2020,H20,688.0,30/3/2020,11d,-4.9,61.9,41.5
20/03/2020,H20,760.5,30/3/2020,10d,72.5,53.0,33.6
23/03/2020,H20,671.0,30/3/2020,7d,-89.5,53.5,30.0
24/03/2020,H20,698.3,30/3/2020,6d,27.3,50.5,33.8
25/03/2020,H20,723.6,30/3/2020,5d,25.3,38.0,22.7
26/03/2020,H20,737.9,30/3/2020,4d,14.3,35.5,15.5
27/03/2020,H20,738.6,30/3/2020,3d,0.7,31.0,11.3
30/3/2020,H20,731.3,30/3/2020,0ms,-7.3,6.8,0.4
23/03/2020,M20,663.1,29/6/2020,98d,,,119.0
24/03/2020,M20,690.2,29/6/2020,97d,27.1,149.1,128.3
25/03/2020,M20,717.4,29/6/2020,96d,27.2,155.0,146.6
26/03/2020,M20,729.6,29/6/2020,95d,12.2,155.0,137.5
27/03/2020,M20,731.3,29/6/2020,94d,1.7,162.0,134.0
30/03/2020,M20,721.6,29/6/2020,91d,-9.7,152.5,124.5
31/03/2020,M20,743.5,29/6/2020,90d,21.9,142.9,120.9
01/04/2020,M20,730.9,29/6/2020,89d,-12.6,145.0,117.0
02/04/2020,M20,758.0,29/6/2020,88d,27.1,139.5,117.7
03/04/2020,M20,763.2,29/6/2020,87d,5.2,140.3,117.2
07/04/2020,M20,822.9,29/6/2020,83d,59.7,158.7,131.1
08/04/2020,M20,813.0,29/6/2020,82d,-9.9,150.0,129.0
09/04/2020,M20,813.8,29/6/2020,81d,0.8,149.7,125.5
10/04/2020,M20,827.0,29/6/2020,80d,13.2,145.0,123.0
13/04/2020,M20,827.7,29/6/2020,77d,0.7,138.0,116.5
14/04/2020,M20,841.3,29/6/2020,76d,13.6,130.6,110.8
15/04/2020,M20,823.6,29/6/2020,75d,-17.7,132.8,112.0
16/04/2020,M20,796.5,29/6/2020,74d,-27.1,133.9,111.4
17/04/2020,M20,834.9,29/6/2020,73d,38.4,133.1,113.0
20/04/2020,M20,850.5,29/6/2020,70d,15.6,119.3,97.0
21/04/2020,M20,835.0,29/6/2020,69d,-15.5,124.4,105.3
22/04/2020,M20,841.0,29/6/2020,68d,6.0,118.0,99.5
23/04/2020,M20,850.8,29/6/2020,67d,9.8,113.2,94.4
24/04/2020,M20,840.8,29/6/2020,66d,-10.0,114.0,94.0
27/04/2020,M20,846.0,29/6/2020,63d,5.2,114.0,90.8
28/04/2020,M20,854.9,29/6/2020,62d,8.9,110.7,89.9
29/04/2020,M20,857.3,29/6/2020,61d,2.4,110.9,89.2
30/04/2020,M20,873.2,29/6/2020,60d,15.9,104.0,83.4
05/05/2020,M20,853.0,29/6/2020,55d,-20.2,101.2,80.9
07/05/2020,M20,841.6,29/6/2020,53d,-11.4,90.0,68.8
08/05/2020,M20,845.3,29/6/2020,52d,3.7,85.0,63.8
11/05/2020,M20,860.2,29/6/2020,49d,14.9,80.0,58.4
12/05/2020,M20,868.2,29/6/2020,48d,8.0,72.5,52.3
13/05/2020,M20,863.6,29/6/2020,47d,-4.6,70.9,48.5
14/05/2020,M20,855.0,29/6/2020,46d,-8.6,66.3,46.5
15/05/2020,M20,845.2,29/6/2020,45d,-9.8,61.5,41.1
18/05/2020,M20,858.9,29/6/2020,42d,13.7,60.4,40.1
19/05/2020,M20,875.5,29/6/2020,41d,16.6,58.8,38.5
20/05/2020,M20,883.3,29/6/2020,40d,7.8,60.1,39.0
21/05/2020,M20,878.4,29/6/2020,39d,-4.9,60.5,38.3
22/05/2020,M20,860.0,29/6/2020,38d,-18.4,61.9,40.7
25/05/2020,M20,877.6,29/6/2020,35d,17.6,56.0,36.9
26/05/2020,M20,886.9,29/6/2020,34d,9.3,60.1,37.6
27/05/2020,M20,894.9,29/6/2020,33d,8.0,55.2,34.8
28/05/2020,M20,881.6,29/6/2020,32d,-13.3,60.6,39.5
29/05/2020,M20,892.4,29/6/2020,31d,10.8,56.6,37.0
01/06/2020,M20,899.7,29/6/2020,28d,7.3,56.6,38.5
02/06/2020,M20,919.0,29/6/2020,27d,19.3,53.2,34.0
04/06/2020,M20,947.7,29/6/2020,25d,28.7,53.6,42.3
05/06/2020,M20,962.6,29/6/2020,24d,14.9,50.1,29.0
08/06/2020,M20,963.7,29/6/2020,21d,1.1,48.3,29.0
09/06/2020,M20,938.0,29/6/2020,20d,-25.7,47.8,38.9
10/06/2020,M20,950.7,29/6/2020,19d,12.7,45.4,34.9
11/06/2020,M20,931.1,29/6/2020,18d,-19.6,44.8,25.9
12/06/2020,M20,916.6,29/6/2020,17d,-14.5,54.0,35.3
15/06/2020,M20,891.6,29/6/2020,14d,-25.0,51.8,32.9
16/06/2020,M20,912.4,29/6/2020,13d,20.8,48.0,22.3
17/06/2020,M20,909.1,29/6/2020,12d,-3.3,40.7,20.4
18/06/2020,M20,909.2,29/6/2020,11d,0.1,37.3,18.0
19/06/2020,M20,910.2,29/6/2020,10d,1.0,33.9,15.0
22/06/2020,M20,897.0,29/6/2020,7d,-13.2,29.3,10.5
23/06/2020,M20,896.0,29/6/2020,6d,-1.0,24.9,7.0
24/06/2020,M20,877.1,29/6/2020,5d,-18.9,24.6,8.0
25/06/2020,M20,871.5,29/6/2020,4d,-5.6,20.9,4.9
26/06/2020,M20,878.5,29/6/2020,3d,7.0,16.2,2.3
29/06/2020,M20,875.1,29/6/2020,0ms,-3.4,1.6,0.3
22/06/2020,U20,892.0,29/9/2020,99d,,99.0,83.0
23/06/2020,U20,891.1,29/9/2020,98d,-0.9,101.0,83.4
24/06/2020,U20,871.5,29/9/2020,97d,-19.6,111.1,91.0
25/06/2020,U20,865.6,29/9/2020,96d,-5.9,107.0,89.1
26/06/2020,U20,872.2,29/9/2020,95d,6.6,111.0,85.8
29/06/2020,U20,874.0,29/9/2020,92d,1.8,109.9,85.0
30/06/2020,U20,876.5,29/9/2020,91d,2.5,103.5,78.9
01/07/2020,U20,884.5,29/9/2020,90d,8.0,98.2,76.2
02/07/2020,U20,909.2,29/9/2020,89d,24.7,93.0,72.0
03/07/2020,U20,902.8,29/9/2020,88d,-6.4,94.4,73.3
07/07/2020,U20,900.0,29/9/2020,84d,-2.8,89.8,68.1
08/07/2020,U20,892.6,29/9/2020,83d,-7.4,87.7,65.5
09/07/2020,U20,898.1,29/9/2020,82d,5.5,86.0,64.3
10/07/2020,U20,880.5,29/9/2020,81d,-17.6,89.9,66.8
13/07/2020,U20,874.5,29/9/2020,78d,-6.0,84.9,63.1
14/07/2020,U20,871.9,29/9/2020,77d,-2.6,83.0,62.2
15/07/2020,U20,885.3,29/9/2020,76d,13.4,84.8,63.5
16/07/2020,U20,879.5,29/9/2020,75d,-5.8,80.4,58.6
17/07/2020,U20,889.5,29/9/2020,74d,10.0,77.7,56.3
20/07/2020,U20,885.0,29/9/2020,71d,-4.5,77.0,55.4
21/07/2020,U20,902.6,29/9/2020,70d,17.6,73.0,52.5
22/07/2020,U20,883.0,29/9/2020,69d,-19.6,77.0,53.5
23/07/2020,U20,884.9,29/9/2020,68d,1.9,71.6,51.5
24/07/2020,U20,872.6,29/9/2020,67d,-12.3,70.9,49.8
29/07/2020,U20,869.4,29/9/2020,62d,-3.2,66.8,46.9
30/07/2020,U20,845.8,29/9/2020,61d,-23.6,70.1,47.5
31/07/2020,U20,853.6,29/9/2020,60d,7.8,67.0,46.2
03/08/2020,U20,847.7,29/9/2020,57d,-5.9,66.2,45.0
04/08/2020,U20,855.0,29/9/2020,56d,7.3,66.4,45.2
05/08/2020,U20,860.3,29/9/2020,55d,5.3,63.4,43.7
06/08/2020,U20,856.6,29/9/2020,54d,-3.7,64.0,43.1
07/08/2020,U20,851.4,29/9/2020,53d,-5.2,63.0,40.9
10/08/2020,U20,849.6,29/9/2020,50d,-1.8,61.1,40.5
11/08/2020,U20,861.6,29/9/2020,49d,12.0,60.5,38.9
13/08/2020,U20,874.0,29/9/2020,47d,12.4,55.2,33.7
14/08/2020,U20,855.8,29/9/2020,46d,-18.2,56.3,34.9
17/08/2020,U20,854.4,29/9/2020,43d,-1.4,55.0,33.4
18/08/2020,U20,865.9,29/9/2020,42d,11.5,48.5,27.6
19/08/2020,U20,845.5,29/9/2020,41d,-20.4,46.6,27.0
20/08/2020,U20,836.0,29/9/2020,40d,-9.5,50.4,30.0
21/08/2020,U20,836.6,29/9/2020,39d,0.6,50.1,29.3
24/08/2020,U20,850.4,29/9/2020,36d,13.8,46.3,25.7
25/08/2020,U20,850.3,29/9/2020,35d,-0.1,43.7,24.2
26/08/2020,U20,854.4,29/9/2020,34d,4.1,42.5,22.4
27/08/2020,U20,856.0,29/9/2020,33d,1.6,41.7,21.7
28/08/2020,U20,850.1,29/9/2020,32d,-5.9,39.7,19.7
31/08/2020,U20,841.1,29/9/2020,29d,-9.0,37.5,17.9
01/09/2020,U20,839.7,29/9/2020,28d,-1.4,35.4,16.7
02/09/2020,U20,843.8,29/9/2020,27d,4.1,34.1,14.8
03/09/2020,U20,844.0,29/9/2020,26d,0.2,33.5,14.1
08/09/2020,U20,830.6,29/9/2020,21d,-13.4,31.3,13.6
09/09/2020,U20,831.5,29/9/2020,20d,0.9,29.3,11.7
10/09/2020,U20,829.0,29/9/2020,19d,-2.5,27.1,10.7
11/09/2020,U20,823.0,29/9/2020,18d,-6.0,27.4,10.5
14/09/2020,U20,818.0,29/9/2020,15d,-5.0,26.6,8.9
15/09/2020,U20,827.0,29/9/2020,14d,9.0,23.4,7.6
16/09/2020,U20,830.6,29/9/2020,13d,3.6,21.3,6.8
17/09/2020,U20,826.2,29/9/2020,12d,-4.4,19.6,5.3
18/09/2020,U20,829.0,29/9/2020,11d,2.8,18.7,5.1
21/09/2020,U20,815.5,29/9/2020,8d,-13.5,18.0,4.5
22/09/2020,U20,809.0,29/9/2020,7d,-6.5,17.3,3.2
23/09/2020,U20,801.7,29/9/2020,6d,-7.3,14.7,2.5
24/09/2020,U20,784.6,29/9/2020,5d,-17.1,21.5,5.0
25/09/2020,U20,784.1,29/9/2020,4d,-0.5,16.0,2.3
28/09/2020,U20,799.7,29/9/2020,1d,15.6,7.6,0.6
29/09/2020,U20,,29/9/2020,0ms,,5.2,0.3
21/09/2020,Z20,813.4,29/12/2020,99d,,59.8,39.0
22/09/2020,Z20,808.5,29/12/2020,98d,-4.9,50.0,32.4
23/09/2020,Z20,800.9,29/12/2020,97d,-7.6,47.8,30.4
24/09/2020,Z20,783.1,29/12/2020,96d,-17.8,66.9,46.7
25/09/2020,Z20,781.5,29/12/2020,95d,-1.6,64.1,42.5
28/09/2020,Z20,796.0,29/12/2020,92d,14.5,59.3,38.8
29/09/2020,Z20,794.0,29/12/2020,91d,-2.0,58.9,37.9
30/09/2020,Z20,778.4,29/12/2020,90d,-15.6,55.8,34.4
01/10/2020,Z20,785.8,29/12/2020,89d,7.4,57.2,35.9
02/10/2020,Z20,776.1,29/12/2020,88d,-9.7,54.4,32.9
05/10/2020,Z20,780.5,29/12/2020,85d,4.4,51.8,31.8
06/10/2020,Z20,784.0,29/12/2020,84d,3.5,51.1,30.4
07/10/2020,Z20,794.0,29/12/2020,83d,10.0,49.6,29.8
08/10/2020,Z20,804.8,29/12/2020,82d,10.8,46.7,26.9
09/10/2020,Z20,799.0,29/12/2020,81d,-5.8,46.4,25.9
12/10/2020,Z20,803.6,29/12/2020,78d,4.6,45.3,25.4
15/10/2020,Z20,780.8,29/12/2020,75d,-22.8,46.0,25.7
16/10/2020,Z20,776.2,29/12/2020,74d,-4.6,44.8,24.8
19/10/2020,Z20,759.2,29/12/2020,71d,-17.0,46.2,26.2
20/10/2020,Z20,757.4,29/12/2020,70d,-1.8,46.0,26.4
21/10/2020,Z20,762.2,29/12/2020,69d,4.8,46.5,26.8
22/10/2020,Z20,762.7,29/12/2020,68d,0.5,45.3,24.9
26/10/2020,Z20,754.8,29/12/2020,64d,-7.9,41.0,22.8
27/10/2020,Z20,755.1,29/12/2020,63d,0.3,41.0,20.3
28/10/2020,Z20,752.5,29/12/2020,62d,-2.6,40.6,20.8
29/10/2020,Z20,749.8,29/12/2020,61d,-2.7,38.6,20.1
30/10/2020,Z20,744.0,29/12/2020,60d,-5.8,39.0,19.8
02/11/2020,Z20,748.2,29/12/2020,57d,4.2,37.5,19.8
03/11/2020,Z20,765.0,29/12/2020,56d,16.8,34.6,17.2
04/11/2020,Z20,762.3,29/12/2020,55d,-2.7,36.9,18.3
05/11/2020,Z20,800.7,29/12/2020,54d,38.4,37.6,17.5
06/11/2020,Z20,795.2,29/12/2020,53d,-5.5,40.8,23.3
09/11/2020,Z20,820.0,29/12/2020,50d,24.8,43.1,24.7
10/11/2020,Z20,878.2,29/12/2020,49d,58.2,67.3,46.9
11/11/2020,Z20,878.2,29/12/2020,48d,0.0,71.7,51.0
12/11/2020,Z20,866.5,29/12/2020,47d,-11.7,67.0,45.3
13/11/2020,Z20,877.4,29/12/2020,46d,10.9,62.5,41.3
16/11/2020,Z20,878.9,29/12/2020,43d,1.5,55.5,35.7
